full_text,capres
Pak Anies adalah pemimpin yang memiliki visi besar untuk Indonesia. Dia siap membawa kita ke tingkat yang lebih tinggi. 🌟🚀 #AniesSigap,anies
Anies Baswedan adalah pemimpin yang inovatif dan kreatif dalam mencari solusi untuk masalah kompleks. Itulah yang kita butuhkan! 💡🔄 #AniesSigap,anies
Pagi cerah bersama Bakorsi Anies Jawa Barat. Semangat banget ini bapack2 relawan untuk perubahan 💪🔥  #AMINAjaDulu https://t.co/jFergOQIwD,anies
"Pak Anies adalah tokoh yang menginspirasi banyak orang, termasuk saya. Dia adalah pemimpin masa depan yang kita butuhkan. 🌠🙏 #AniesSigap",anies
Kami mendukung Pak Anies untuk menjadi Presiden Indonesia 2024! Dia adalah pemimpin yang sigap dan berkomitmen pada perubahan positif. 🇲🇨❤️ #AniesSigap,anies
Lucu sih kalau pak anies ternyata ikut ntn konser coldplay juga 😂 semoga terjadi lah ini,anies
"@abu_waras Sandiwara tingkat tinggi kr na. Prabowo dan ganjar elektsnbilitasnya kecil mk dibuat sksnario seperti ini biar diantara 2. hrs jd, habis. ANIES RB SANGAT KUAT",anies
"@tvOneNews Dua kali pilih Prabowo. Besok mau beralih pilih Anies. Seandainya Anies kalah diputaran pertama, saya mau pilih Ganjar. Kenapa tdk pilih Prabowo lagi ? Penginnya si iya, tapi disana ada Gibran. Langsung balik kanan.",anies
@BangEdiii @prabowo @ganjarpranowo @aniesbaswedan Bismillah.  Anies. Dah gitu aja.,anies
"@anisfauzan1 @aniesbaswedan Iya gagal, makanya akan lebih mudah diatasi kalau  Anies jadi Presiden... https://t.co/zwqAfHaskj",anies
"@TuanRakyat01 Itu ada SP ada JKW. Gimana, sih. Saya tak bahas Anies. Saya bahas kajian semalam  🤣",anies
"Pandai menata kata, juga pintar menata kota ❤   #anies #amin #AniesMuhaimin2024 https://t.co/UNwbJApHWq",anies
@Ndons_Back Lha bang ...  Dana kecil bukan berarti ga dan dana sama sekali donk. Kegiatan pun ada yg undangan dll. Kenapa pak Anies sangat rajin menghadiri undangan kegiatan tukar gagasan? 1. Percaya dengan program yg ditawarkan 2. Bisa mensosialisasikan program dgn biaya Jauh lebih hemat.,anies
"@hasyimmah Sy juga berpikiran seperti itu, pertikaian pendukung 2 capres hanya menguntungkan sisanya ( Anies ) saja.",anies
@abu_waras Setiap akun pastinya di follow oleh pengemar yg se aliran... pastinya untuk akun abu Nawas ya pilih Anies ..  jadi percuma membuat poling yg sudah pasti di mayoritas suara Anies ..  Coba buat gagasan yg lebih Smart ... Bukan poling polingan yg tidak mewakili suara keseluruhan,anies
"@MhdBambaNgPragO @ch_chotimah2 @PDI_Perjuangan @jokowi @gibran_tweet @bobbynasution_ @psi_id @MataNajwa @NajwaShihab @ILCTalkshow @karniilyas @akbarfaizal68 @AbrahamSamadd @BurhanMuhtadi @yunartowijaya @saiful_mujani @KompasTV @tvOneNews @Metro_TV @kompascom @tempodotco @VIVAcoid @CNNIndonesia @detikcom ya monggo kalau mau pilih anies/ ganjar yg mabok syariah dan pingin nkri bersyariah dan jd negara agama  aku mah tetep tegak lurus jokowi, dan selametin pancasila dr orng2 mabok syariah yg pingin ganti pancasila dengan syariah dan cm prabowo harapannya krn dia pancasila bngt https://t.co/WAeUtPJcQf",anies
"Anies Baswedan Hadiri Acara APERSI, Bicara Soal Permukiman . Dalam acara tersebut Bacapres pasangan Muhaimin Iskandar atau Cak Imin ini memaparkan banyak hal dalam acara tersebut. https://t.co/Qy879fbFqw",anies
@CNNIndonesia Mantap pak Anies dengan programnya . Pokonya dukung pak Anies selalu,anies
@CNNIndonesia wah yakin sih ini di tangan pak Anies bakal terjamin transportasi publik👍🏻,anies
@QianzyZ Tetap Anies,anies
"Mumpung lagi di toilet omongin foolitik copras capres yang kalau cuman jadi pemilih ga bakal kenyang.  Pr+Gb 🚫 Gj+Md ⛔ Anies kendala ada Cak Imin, jadi sama bae ❌  Jiwa golput yang kalau ke TPS pas sempat dan punya tujuan lain makin naik.",anies
"@KompasTV Waktu itu anies bilang kubu mereka ada penjegalan disebut playing victim, ini playing victim juga ga ya?",anies
Pilihan Pak Anies Baswedan sebagai calon presiden adalah langkah cerdas untuk masa depan Indonesia @SteveNeedJobs  https://t.co/YF5QDNTx5V,anies
Pendukung Anies ..politik identitas .,anies
@kdrn_phobia @Montir_UFO @Heraloebss Itu lah kelemahan para pendukungnya Anies suka bermain politik SARA dan suka bermain menarik-narik agama ke persoalan politik praktis (dukung mendukung capres-cawapres) yg membuat suara Anies stuck jalan ditempat ya karena ini,anies
Keluarga Pak Anies yang telah sukses dalam berbagai bidang adalah bukti bahwa dia memiliki dukungan yang kuat @stevanie_salma  https://t.co/QfITlrB1Hz,anies
"#TemanPemilih, kamu perlu tahu inilah Profil Bakal Pasangan Calon Presiden dan Wakil Presiden Pemilu Tahun 2024, Anies Rasyid Baswedan dan Muhaimin Iskandar, yang diusulkan oleh Partai NasDem, PKB dan PKS  Selengkapnya, scan barcode ini yaa..  #KPUMelayani #pemiluserentak2024 https://t.co/IDXjsYrfz8",anies
"Indonesia butuh pemimpin yang berani berinovasi, dan Pak Anies adalah salah satunya @Steppppsj  https://t.co/TZSiPXO0Pr",anies
"@MinmonPS7 Dapat di simpulkan, yang bermasalah di atas :  1. Wakilnya Anies 2. Wakilnya Prabowo 3. Dua²nya  Skrg hanya tinggal 2 paslon yg masih dalam pertimbangan @MinmonPS7 :  1. Anies/Imin 2. Prabowo/gibran",anies
@gibran_tweet Always pak Anies selalu di hati ♥️,anies
@InsanBeradab @__AnakKolong Survey abal²...yang bener 👇  -Prabowo:101% -Anies:101% Yang mau sujud nungging dipersilakan...sekarang juga boleh.  *Khusus Untuk Ganjar+Mahfud hasilnya tunggu KPU aja dehhh..👌😉,anies
"@tempodotco @Uing0095 andai anies jadi presiden, hanya bisa saran : jangan sekali² angkat orang² bermasalah. karena mereka nantinya akan ngangkat anak buahnya orang bermasalah juga. anies bersih, angkatlah orang² yg bersih juga agar negri ini damai dan sehat...",anies
"@gibran_tweet bakalan berat sih kalo mas gibran yg mimpin ga akan kuat, serahkan aja ke Anies yg udah mumpuni 🙏🏻",anies
"@BosPurwa @Fahrihamzah Berpolitik yg ideal memang susah. Klo sama-sama jujur, semua akan sepakat klo Anies sosok Presiden yg paling baik diantara ketiganya. Tp memilih krn ego ogah gabung dgn bekas parpol sblmnya msh jd pilihan. 😁",anies
Kepemimpinan Pak Anies Baswedan adalah solusi untuk membawa Indonesia ke arah yang lebih baik @stepopatepo  https://t.co/p8rT0vUfBQ,anies
@adearmando61 Memang cuman Anies dan Cak Imin yang lebih berjuang bagi ummat tanpa omong kalau difitnah,anies
"@StefanAntonio__ Faktanya anies, ganjar dan prabowo maju krn faktor elektabilitas dari lembaga survei, kenapa skrg nggak akui lembaga survei ?",anies
